"ID" "Peso" "Sexo"
"1" "107.42" "F"
"2" "87.41" "F"
"3" "101.22" "F"
"4" "36.67" "F"
"5" "57.32" "F"
"6" "61.12" "F"
"7" "99.16" "F"
"8" "85.85" "F"
"9" "89.27" "F"
"10" "80.88" "F"
"11" "53.27" "F"
"12" "59.45" "F"
"13" "86.88" "F"
"14" "87.18" "F"
"15" "81.95" "F"
"16" "71.09" "F"
"17" "85.77" "F"
"18" "51.48" "F"
"19" "117.83" "F"
"20" "66.15" "F"
"21" "78.91" "F"
"22" "96.48" "F"
"23" "65.26" "F"
"24" "68.1" "F"
"25" "99.35" "F"
"26" "47.58" "F"
"27" "77.09" "F"
"28" "106.77" "F"
"29" "85.16" "F"
"30" "65.47" "F"
"31" "64.85" "F"
"32" "57.53" "F"
"33" "74.98" "F"
"34" "71" "F"
"35" "74.82" "F"
"36" "82.67" "M"
"37" "92.36" "M"
"38" "85.58" "M"
"39" "73.74" "M"
"40" "88.58" "M"
"41" "66.14" "M"
"42" "85.73" "M"
"43" "78.91" "M"
"44" "84.73" "M"
"45" "78.42" "M"
"46" "75.86" "M"
"47" "72.32" "M"
"48" "94" "M"
"49" "84.25" "M"
"50" "86.85" "M"
"51" "92.56" "M"
"52" "84.47" "M"
"53" "92.72" "M"
"54" "85.3" "M"
"55" "85.97" "M"
"56" "92.17" "M"
"57" "76.7" "M"
"58" "77.25" "M"
"59" "81.16" "M"
"60" "96.4" "M"
"61" "90.7" "M"
"62" "91.58" "M"
"63" "72.02" "M"
"64" "91.51" "M"
"65" "72.14" "M"
"66" "79.5" "M"
"67" "91.93" "M"
"68" "82.18" "M"
"69" "78.79" "M"
"70" "88.49" "M"
"71" "76.69" "M"
"72" "95.92" "M"
"73" "84.89" "M"
"74" "86.98" "M"
"75" "79.43" "M"
"76" "79" "M"
"77" "95.81" "M"
"78" "94.73" "M"
"79" "94.4" "M"
"80" "74.7" "M"
"81" "83.96" "M"
"82" "84.15" "M"
"83" "75.85" "M"
"84" "83.06" "M"
"85" "90.77" "M"
"86" "99.78" "M"
"87" "94.46" "M"
"88" "63.08" "M"
"89" "84.41" "M"
"90" "100.76" "M"
"91" "74.76" "M"
"92" "103.1" "M"
"93" "85.7" "M"
"94" "87.41" "M"
"95" "69.91" "M"
"96" "94.59" "M"
"97" "83.81" "M"
"98" "69.98" "M"
"99" "78.63" "M"
"100" "84.23" "M"
"101" "103.75" "M"
"102" "74.93" "M"
